iter	MultiClass
0	1.035621949
1	0.9875804364
2	0.9517914531
3	0.924238714
4	0.9014744249
5	0.8834783982
6	0.8700536206
7	0.8453943862
8	0.8249384955
9	0.8073320252
10	0.7931062846
11	0.781125858
12	0.7718746576
13	0.7646506896
14	0.7587919562
15	0.752942405
16	0.7479326221
17	0.7443577393
18	0.7419152427
19	0.7386547295
20	0.7363301678
21	0.7342517203
22	0.7326203276
23	0.7309954226
24	0.7297208398
25	0.7281712932
26	0.7273401556
27	0.7266165279
28	0.726011076
29	0.7251450259
30	0.7247651918
31	0.7244353577
32	0.7237170985
33	0.7231996428
34	0.7226819735
35	0.722365521
36	0.7220296681
37	0.7218071798
38	0.7213616559
39	0.7212334525
40	0.7206864572
41	0.7204674776
42	0.7201270454
43	0.7197882144
44	0.7196514398
45	0.7192175846
46	0.7187538955
47	0.7185681126
48	0.718229697
49	0.7180434754
50	0.7176392167
51	0.7170710317
52	0.7169765079
53	0.7167214581
54	0.7162422266
55	0.7160315892
56	0.7156692576
57	0.7152458375
58	0.7148281505
59	0.7147574634
60	0.7146346702
61	0.7144555729
62	0.7141073389
63	0.7139864426
64	0.7137441812
65	0.7134138487
66	0.7133096541
67	0.7132234696
68	0.7128558604
69	0.7127016755
70	0.7125585216
71	0.7123932715
72	0.7121189843
73	0.7120546363
74	0.7120192081
75	0.7119192204
76	0.7118096754
77	0.7116696122
78	0.711480704
79	0.711211926
80	0.7111286904
81	0.7110388659
82	0.7104840358
83	0.7104088175
84	0.7099625367
85	0.7096426493
86	0.7093060276
87	0.7090187227
88	0.7088792527
89	0.7086613274
90	0.7085361861
91	0.7083300304
92	0.7081676894
93	0.708101923
94	0.7080492351
95	0.7077905712
96	0.7076753015
97	0.7074106059
98	0.7071730541
99	0.7070698214
100	0.7068186785
101	0.7065417092
102	0.7064417254
103	0.7060787628
104	0.7059524153
105	0.7056285846
106	0.7053469147
107	0.7051429926
108	0.7049728644
109	0.7047895867
110	0.704645618
111	0.7044224721
112	0.7040875637
113	0.7037136399
114	0.7035175685
115	0.7033502884
116	0.7031506229
117	0.7030050459
118	0.7028785611
119	0.7027444831
120	0.7024891005
121	0.7023787459
122	0.7022823761
123	0.7022255353
124	0.7018746501
125	0.7015043584
126	0.701372759
127	0.7011517855
128	0.7007676419
129	0.7004714677
130	0.7002801236
131	0.6999622287
132	0.6997947262
133	0.6995696946
134	0.6994939607
135	0.6993196755
136	0.6990226926
137	0.698665361
138	0.6985497364
139	0.6983697627
140	0.6982576672
141	0.6981834323
142	0.6979825845
143	0.697902266
144	0.6977503646
145	0.6976978481
146	0.6974624313
147	0.6971158171
148	0.6968443859
149	0.6966747553
150	0.6965971029
151	0.6962604878
152	0.6961565837
153	0.6959850658
154	0.6958254816
155	0.6956777507
156	0.6954883656
157	0.6953259411
158	0.6952688178
159	0.6949340383
160	0.6948347294
161	0.6946965615
162	0.694573601
163	0.6943856055
164	0.6940191059
165	0.693774641
166	0.6936837121
167	0.6935278212
168	0.6933020507
169	0.6930465028
170	0.6926730035
171	0.6924684833
172	0.6923378878
173	0.6920890271
174	0.692025999
175	0.6919098906
176	0.6917588297
177	0.6915364884
178	0.6913337132
179	0.6909668462
180	0.6906494598
181	0.6904004348
182	0.6902141821
183	0.6899241444
184	0.6898178957
185	0.6896021051
186	0.6892754782
187	0.6891116602
188	0.6889706506
189	0.6887636277
190	0.6885632815
191	0.6884810917
192	0.6883573179
193	0.6882266233
194	0.6881278255
195	0.6879065326
196	0.6877845545
197	0.6873970657
198	0.6873008883
199	0.6871632563
200	0.6870370045
201	0.6869540393
202	0.6867965281
203	0.6865963184
204	0.6863101978
205	0.686281316
206	0.6860852556
207	0.685849661
208	0.685769833
209	0.6855106211
210	0.6854753073
211	0.6852368937
212	0.6850593525
213	0.6848487028
214	0.6845229761
215	0.684353992
216	0.6842062599
217	0.6839834207
218	0.6838245544
219	0.6836281947
220	0.6834473165
221	0.6833695487
222	0.6831617846
223	0.6828346432
224	0.6826682622
225	0.6825106952
226	0.6822163738
227	0.682111691
228	0.6819245492
229	0.6817669873
230	0.6815610888
231	0.6812673219
232	0.6811616573
233	0.6808417345
234	0.680701587
235	0.6805860482
236	0.6803650239
237	0.6801282449
238	0.679940047
239	0.6794934667
240	0.6793812017
241	0.6792005912
242	0.6790630739
243	0.6788594106
244	0.6787025047
245	0.6784377501
246	0.6782323371
247	0.6780457325
248	0.6779106672
249	0.6778467889
250	0.6777139981
251	0.6774777933
252	0.6774457508
253	0.6773661043
254	0.6770134289
255	0.6768020939
256	0.6766492029
257	0.6764740997
258	0.6761694548
259	0.6759250331
260	0.6757196623
261	0.6757014039
262	0.6756410574
263	0.6754518532
264	0.675291806
265	0.6750996445
266	0.674942915
267	0.6747691766
268	0.6746572018
269	0.6745288227
270	0.6744230965
271	0.6743152773
272	0.673983434
273	0.6738212662
274	0.6736982434
275	0.6736067139
276	0.6735361047
277	0.6732007382
278	0.6731336009
279	0.6727977597
280	0.6725867822
281	0.6725053305
282	0.672256198
283	0.672109874
284	0.6719870135
285	0.6717610651
286	0.6714736677
287	0.6713479608
288	0.6711321562
289	0.6709359822
