iter	Passed	Remaining
0	100	100367
1	149	74401
2	172	57177
3	194	48355
4	207	41364
5	250	41518
6	283	40262
7	323	40168
8	357	39370
9	386	38258
10	409	36773
11	431	35513
12	456	34684
13	484	34090
14	508	33400
15	535	32919
16	558	32297
17	584	31892
18	612	31616
19	642	31489
20	673	31405
21	697	31010
22	728	30930
23	758	30862
24	782	30499
25	809	30331
26	829	29897
27	854	29655
28	878	29414
29	911	29485
30	947	29614
31	979	29626
32	1008	29539
33	1040	29564
34	1070	29526
35	1107	29667
36	1139	29660
37	1171	29657
38	1200	29584
39	1241	29794
40	1295	30292
41	1326	30250
42	1382	30778
43	1419	30847
44	1499	31825
45	1539	31923
46	1562	31684
47	1588	31497
48	1616	31365
49	1645	31267
50	1672	31119
51	1701	31013
52	1725	30827
53	1755	30759
54	1791	30775
55	1821	30710
56	1853	30661
57	1888	30663
58	1916	30566
59	1939	30385
60	1969	30323
61	1994	30173
62	2023	30096
63	2053	30039
64	2079	29907
65	2109	29846
66	2139	29795
67	2166	29697
68	2195	29616
69	2220	29494
70	2244	29373
71	2274	29316
72	2301	29227
73	2332	29182
74	2360	29115
75	2391	29075
76	2420	29014
77	2449	28959
78	2472	28824
79	2500	28753
80	2530	28705
81	2557	28630
82	2582	28531
83	2611	28482
84	2648	28509
85	2684	28526
86	2722	28569
87	2745	28448
88	2775	28409
89	2804	28361
90	2832	28291
91	2862	28250
92	2890	28191
93	2915	28099
94	2946	28070
95	2977	28033
96	3003	27964
97	3036	27944
98	3065	27902
99	3097	27881
100	3151	28050
101	3181	28009
102	3208	27943
103	3236	27880
104	3265	27836
105	3298	27822
106	3326	27762
107	3355	27715
108	3387	27692
109	3411	27599
110	3440	27556
111	3481	27603
112	3512	27570
113	3542	27528
114	3573	27503
115	3605	27476
116	3634	27426
117	3663	27380
118	3691	27330
119	3718	27268
120	3743	27194
121	3775	27167
122	3805	27131
123	3836	27104
124	3868	27078
125	3899	27051
126	3930	27021
127	3960	26981
128	3984	26901
129	4026	26944
130	4063	26957
131	4105	26997
132	4137	26973
133	4166	26923
134	4196	26888
135	4232	26889
136	4271	26904
137	4299	26854
138	4328	26813
139	4360	26785
140	4388	26735
141	4415	26679
142	4449	26665
143	4485	26663
144	4525	26683
145	4548	26607
146	4580	26582
147	4609	26534
148	4640	26505
149	4670	26466
150	4701	26434
151	4733	26407
152	4762	26366
153	4795	26346
154	4824	26303
155	4854	26261
156	4881	26208
157	4912	26177
158	4942	26141
159	4973	26111
160	5003	26075
161	5032	26033
162	5061	25990
163	5092	25957
164	5122	25921
165	5152	25887
166	5180	25839
167	5211	25810
168	5243	25783
169	5281	25788
170	5315	25767
171	5345	25731
172	5373	25689
173	5402	25645
174	5433	25613
175	5464	25582
176	5493	25541
177	5527	25523
178	5562	25512
179	5585	25445
180	5616	25415
181	5652	25404
182	5681	25363
183	5710	25325
184	5738	25280
185	5768	25244
186	5798	25207
187	5826	25164
188	5857	25132
189	5889	25108
190	5920	25077
191	5957	25070
192	5995	25067
193	6029	25050
194	6069	25056
195	6101	25029
196	6133	24999
197	6158	24943
198	6186	24903
199	6223	24894
200	6261	24888
201	6301	24892
202	6338	24884
203	6374	24871
204	6406	24843
205	6434	24799
206	6469	24785
207	6509	24787
208	6548	24782
209	6580	24753
210	6607	24707
211	6639	24677
212	6668	24638
213	6700	24611
214	6742	24618
215	6783	24620
216	6814	24589
217	6845	24554
218	6881	24540
219	6918	24528
220	6945	24480
221	6977	24452
222	7006	24413
223	7032	24363
224	7064	24332
225	7093	24293
226	7121	24250
227	7154	24223
228	7183	24184
229	7211	24141
230	7242	24110
231	7270	24068
232	7300	24033
233	7327	23986
234	7350	23929
235	7382	23898
236	7413	23867
237	7444	23834
238	7475	23802
239	7503	23759
240	7532	23722
241	7559	23678
242	7589	23643
243	7621	23614
244	7648	23569
245	7678	23533
246	7709	23503
247	7740	23470
248	7769	23432
249	7799	23397
250	7823	23345
251	7852	23308
252	7880	23268
253	7914	23244
254	7951	23230
255	7987	23213
256	8022	23193
257	8048	23147
258	8078	23112
259	8107	23074
260	8135	23035
261	8166	23002
262	8194	22963
263	8225	22931
264	8252	22888
265	8284	22859
266	8310	22815
267	8341	22784
268	8371	22749
269	8402	22717
270	8432	22683
271	8459	22642
272	8494	22620
273	8532	22607
274	8565	22582
275	8606	22576
276	8637	22545
277	8678	22540
278	8716	22524
279	8752	22507
280	8786	22483
281	8818	22451
282	8847	22414
283	8878	22384
284	8909	22350
285	8937	22311
286	8972	22289
287	9012	22281
288	9051	22268
289	9081	22233
